Client ID,FL Round,Training Time,Communication Time,Total Time,CPU Usage (%),Task
client 1,1,12.95,20.77,33.73,58.75,taskA
client 2,1,13.16,20.54,33.69,62.15,taskA
client 3,1,13.03,20.3,33.32,74.75,taskB
client 4,1,13.12,20.42,33.54,74.05,taskB
client 5,1,13.01,20.3,33.31,62.25,taskB
client 6,1,13.11,20.37,33.48,74.1,taskB
client 7,1,13.08,20.44,33.52,62.2,taskB
client 8,1,12.99,20.65,33.64,79.44999999999999,taskB
client 9,1,13.01,20.31,33.32,74.35,taskB
client 10,1,13.07,20.39,33.46,62.2,taskB
client 2,2,13.1,20.61,33.7,64.5,taskA
client 7,2,13.07,20.42,33.49,67.0,taskB
client 8,2,13.01,20.37,33.38,73.69999999999999,taskB
client 4,2,13.01,20.37,33.38,72.8,taskB
client 6,2,13.06,20.35,33.41,72.6,taskB
client 10,2,13.03,20.49,33.53,65.0,taskB
client 3,2,13.06,20.45,33.51,73.25,taskB
client 9,2,13.0,20.41,33.41,73.2,taskB
client 5,2,13.08,20.38,33.46,66.15,taskB
client 1,2,13.07,20.44,33.51,64.35,taskA
client 8,3,13.02,20.42,33.44,74.7,taskB
client 3,3,13.09,20.47,33.56,73.65,taskB
client 4,3,13.11,20.5,33.61,73.35,taskB
client 7,3,13.06,20.41,33.46,66.25,taskB
client 1,3,13.11,20.5,33.61,64.65,taskA
client 2,3,13.09,20.54,33.63,65.0,taskA
client 5,3,13.13,20.62,33.76,65.2,taskB
client 6,3,13.14,20.52,33.66,73.05,taskB
client 10,3,13.06,20.52,33.58,65.2,taskB
client 9,3,13.08,20.42,33.5,73.55,taskB
